scraped_id,news_title,author,article,news_created,scrapped_at,image
0,"Hasil Liga 1: Debut Manis Gomez dan Lilipaly 2 Gol, Borneo Hajar Arema",CNN Indonesia,"Debut manis pelatih anyar Joaquin Gomez pengganti Pieter Huistra berhasil membawa Borneo FC menang atas Arema lewat dua gol Stefano Lilipaly di Liga 1, Minggu (19/1).
Borneo FC menang 3-1 atas Arema FC pada pertandingan Liga 1 2024/2025 yang digelar di Stadion Batakan, Balikpapan.
Tim Pesut Etam berhasil unggul pada menit ke-26 melalui gol Stefano Lilipaly. Di menit ke-45+1, Borneo FC berhasil menambah keunggulan menjadi 2-0 lewat gol Habibie Jusuf. Borneo FC unggul 2-0 di babak pertama.

Pada babak kedua, di menit ke-50 Arema berhasil memperkecil ketertinggalan lewat sontekan Dalberto setelah melewati adangan Nadeo Argawinata setelah memanfaatkan kesalahan backpass bek Pesut Etam Ronaldo Rodrigues.
Pada menit ke-62 Borneo berhasil memperlebar keunggulan menjadi 3-1 lewat gol Stefano Lilipaly lewat tembakan keras dari dalam kotak penalti.
Hingga pertandingan berakhir tak ada gol tambahan yang tercipta. Borneo FC menang 3-1 atas Arema.


Sementara itu pada pertandingan lainnya Minggu (19/1) sore, laga Persik Kediri vs PSS Sleman berjalan cukup ketat dengan kondisi lapangan tergenang air sehingga membuat aliran bola sulit berjalan dengan sempurna.
Bertanding di Stadion Brawijaya, Kediri, pada menit ke-20 PSS Sleman mengancam gawang Persik melalui tendangan bebas Vico yang bisa ditepis kiper lawan.
Pada menit ke-88, pemain Persik Yusuf Meilana harus mendapatkan kartu merah usai menyikut penyerang PSS Hokky Caraka.
Awalnya Yusuf hanya mendapatkan kartu kuning, tapi dianulir wasit dan diubah menjadi kartu merah.
Hingga pertandingan berakhir tak ada gol tambahan tercipta. Persik vs PSS berakhir 0-0. 
[Gambas:Video CNN]",,2025-01-19,https://akcdn.detik.net.id/visual/2022/12/14/borneo-fc-imbang-melawan-pss-sleman_169.jpeg?w=650&q=90
1,"Ironi SD Nias, Guru Tak Mengajar Ternyata karena Jalan Kaki 2 Jam",CNN Indonesia,"Video siswa Sekolah Dasar (SD) Negeri 078481 Uluna'ai Hiligo'o Laowo Hilimbaruzo di Dusun III Desa Laowo Hilimbaruzo, Kecamatan Idanogawo, Kabupaten Nias, Sumut curhat tidak ada guru mengajar selama sebulan viral di media sosial.
Kepala Dinas Pendidikan Nias Kharisman Halawa mengatakan para guru di SD Negeri itu harus melewati medan yang terjal untuk sampai ke sekolah itu. Sebab sekolah tersebut berada di dusun terisolir yang hanya bisa diakses dengan jalan kaki dan naik sampan.
""Jadi dusun itu terisolir yang berjarak 8,5 kilometer dari desa induk. Menuju ke dusun itu hanya dapat diakses dengan jalan kaki melewati perbukitan dan menyeberangi 13 kali sungai dengan waktu tempuh 2 jam. Namun jika hujan deras turun, maka waktu tempuh bisa berkisar 4 jam lebih,"" kata Kharisman Halawa kepada CNNIndonesia.com, Minggu (19/1).
Kharisman Halawa berkara hujan kerap membuat wilayah tersebut banjir. Dalam kondisi infrastruktur yang tidak memadai ditambah intensitas hujan tinggi dalam beberapa hari terakhir, para guru kesulitan ke sekolah.
""Kami telusuri kemarin bersama pak bupati, kami diguyur hujan juga berangkat jam 10.00 WIB baru sampai jam 14.00 WIB. Kalau normalnya tidak hujan itu bisa dua jam. Dan hujan sebentar saja langsung banjir,"" jelasnya.

Menurut dia, sebenarnya ada jalur lain menuju sekolah tersebut, yakni melalui Desa Soroma'asi Kecamatan Ulugawo dengan jarak 4 Km. Namun harus menempuh jalan perkerasan batu dengan kontur berbukit-bukit terjal.
""Wilayah Dusun III tersebut didiami oleh 315 jiwa penduduk (80 KK) dengan jumlah siswa SDN 078481 Uluna'ai Hiligo'o sebanyak 62 orang, dan semuanya merupakan penduduk dari Dusun III Desa Laowo Hilimbaruzo,"" ujarnya.
Dia menyebutkan para guru yang mengajar di sekolah tersebut berada di luar Dusun III Desa Laowo Hilimbaruzo. Mereka tiap harinya pergi ke sekolah dengan jalan kaki dan melewati sungai. Sehingga apabila curah hujan tinggi para guru sering tertahan di jalan karena sungai banjir.
""Dan beberapa bulan terakhir ini curah hujan di wilayah Kabupaten Nias cukup tinggi sehingga membuat guru-guru mengalami kendala ke sekolah atau kadang sampai sekolah sudah siang,"" ungkapnya.
Kharisman Halawa menambahkan di sekolah tersebut belum ada rumah dinas guru serta jaringan listrik. Jumlah tenaga guru di sekolah tersebut terdiri dari 3 orang ASN, 2 orang berstatus PPPK dan 4 orang guru tidak tetap.

""Video viral itu direkam siswa pada 14 Januari 2025. Dan tidak benar satu bulan guru itu tidak mengajar. Kalau kita hitung harinya kemarin itu sudah libur sekolah akhir semester ganjil mulai 21 Desember 2024. Kemudian masuk sekolah tanggal 6 Januari 2025. Jadi mungkin perasaan anak sekolah itu sebulan. Seandainya memang sebulan tidak masuk pasti kami sudah proses,"" ungkapnya.
Dia mengakui pada 14 Januari 2025, kepala sekolah dan bendahara BOS (bantuan operasional sekolah) datang ke Kantor Dinas Pendidikan Nias untuk urusan pertanggungjawaban dana BOS Tabung Anggaran 2024.
""Karena akan diaudit oleh inspektorat dan BPK sehingga mereka ke kantor saya. Lalu dua guru sudah siap-siap jalan ke atas (sekolah), sudah menyusuri sungai tapi turun hujan. Sudah pengalaman mereka tak lama setelah itu banjir. Dan akhirnya dua guru ini tidak sampai ke sekolah. Lalu satu orang ASN lainnya juga tidak ke sekolah karena sudah diberi tugas kepsek pagi pagi mengambil speaker yang sudah dititipkan di dekat sungai. Sehingga di video itu sekolah tampak kosong,"" kata dia.",,2025-01-19,https://akcdn.detik.net.id/visual/2016/03/01/e00c9b03-194b-4479-948c-0e2fb2d75ab1_169.jpg?w=650&q=90
2,Makhachev Kalahkan Rekor Khabib Nurmagomedov Usai Menang di UFC 311,CNN Indonesia,"Islam Makhachev berhasil mempertahankan gelar juara kelas ringan UFC pada UFC 311 usai menang submission atas petarung asal Brasil Renato Moicano di ronde pertama dalam pertarungan yang digelar di Intuit Dome, Inglewood, California, AS, Minggu (19/1) siang waktu Indonesia.
Menariknya, kemenangan ini membuat Islam Makhachev menorehkan rekor baru setelah berhasil empat kali mempertahankan gelar juara kelas ringan UFC. Petarung asal Rusia itu berhasil melewati rekor legenda UFC Khabib Nurmagomedov, Benson Henderson, dan BJ Penn yang sama-sama mampu tiga kali mempertahankan gelar juara UFC.
Makhachev juga mengukuhkan dirinya sebagai petarung pound for pound terbaik UFC. Usai pertandingan, Islam Makhachev mengatakan dirinya selalu suka memiliki sabuk juara.
""Saya selalu mencari penyelesaian. Saya tidak hanya bicara. Jika lawan memberi saya peluang kecil, saya akan menutup malam ini. Bagi saya tidak masalah siapa yang bisa mencetak 155? Cukup melangkah ke ring dan berdiri di depan saya,"" kata Islam Makhachev dikutip dari Nine.com.
""Saya suka sabuk ini. Jika ada yang menginginkan sabuk ini, datangkan ke rumah,"" ucap Islam Makhachev menambahkan.
Di awal ronde pertama, Moicano langsung menerapkan permainan agresif dengan memulai melancarkan tendangan serta pukulan.
Sementara Makhachev lebih memilih bermain sabar sembari mencari celah untuk melepaskan serangan melalui tendangan ke arah wajah.
Saat ronde pertama menyisakan dua menit, Makhachev melakukan serangan mengejutkan dan membanting Moicano untuk pertarungan bawah.
Makhachev terus mencoba mengunci Moicano agar bermain di bawah. Hingga akhirnya satu menit menjelang ronde pertama berakhir, Moicano menyerah dengan menepuk lengan Makhachev setelah mendapat kuncian d'arce choke, yang membuatnya kalah.
Islam Makhachev akhirnya menang submission atas Moicano di ronde pertama. Kemenangan ini membuat Islam Makhachev sukses mempertahankan gelar juara kelas ringan UFC.
Dengan begitu juga Makhachev memperbaiki rekornya dengan 27 kemenangan dan hanya 1 kekalahan hingga saat ini.
Sementara Moicano mencatatkan rekor 20 kemenangan, 6 kekalahan, dan 1 hasil seri. Ia mengalami kekalahan terakhir pada 5 Maret 2022, saat menghadapi Rafael dos Anjos di UFC 272.
[Gambas:Video CNN]",,2025-01-19,https://akcdn.detik.net.id/visual/2025/01/19/mar-mma-spo-ufc-311-makhachev-vs-moicano_169.jpeg?w=650&q=90
3,VIDEO: Hamas dan Warga Gaza Berpesta MeskiGencatan Senjata Ditunda,CNN Indonesia,"Anggota Hamas dan warga Gaza bersuka cita di jalanan Khan Younis pada Minggu (19/1), meskipun terjadi penundaan gencatan senjata oleh Israel.
Para militan berkonvoi di atas kendaraan dengan mengenakan penutup wajah, diiringi kerumunan orang yang bersorak.
Beberapa warga Gaza terlihat naik ke kendaraan dan ikut berpesta bersama anggota Hamas.
Di sisi lain, tim penyelamat turut melakukan arak-arakan dengan menaiki truk pemadam kebakaran bersama penduduk Gaza.
Mereka menyuarakan kegembiraan sambil mengibarkan bendera Palestina.",,2025-01-19,https://akcdn.detik.net.id/visual/2025/01/19/thumbnail-video-4_169.jpeg?w=350&q=90
4,"Kulkas SBS Diskon Gede, dari Rp9 Jutaan Jadi Rp6 Jutaan di Transmart",CNN Indonesia,"Kulkas side by side (SBS) lagi diskon gede-gedean sampai Rp2,6 jutaan di Transmart Full Day Sale hari ini, Minggu (19/1). Kapan lagi diskonnya segede ini!
Khusus bagi pembeli di Pulau Jawa, Bali, dan Lampung, kulkas SBS 436L di Transmart, harga diskon Rp6.599.200 dari harga normal Rp9.299.000 per unit. Diskonnya sampai Rp2.699.800.

Untuk pembeli di luar Pulau Jawa, Bali, dan Lampung juga ada diskon! Kulkas SBS 436L, harga diskon Rp6.999.200 dari harga normal Rp9.749.000 per unit. Diskonnya sampai Rp2.749.900.
Harga spesial ini bisa didapatkan dengan syarat pembayaran menggunakan Allo Prime dari Allo Bank atau kartu kredit Bank Mega atau Mega Syariah dengan maksimal pembelian 2 pcs per kategori.
Jadi pastikan bayar belanjaannya pakai Bank Mega atau Allo Bank supaya bisa menikmati beragam kemudahan serta promo diskon menariknya, ya!
Kalau belum punya kartu kredit Bank Mega, tidak perlu khawatir. Bisa datang ke kantor cabang Bank Mega terdekat atau ke unit pembukaan instan yang tersedia di gerai-gerai Transmart.
Jika belum memiliki Allo Prime, caranya gampang kok. Tinggal unduh aplikasi Allo Bank yang tersedia di PlayStore atau AppStore, lalu upgrade akunnya ke Allo Prime.
Pesta diskon ini berlangsung dari jam toko buka sampai tutup pukul 22.00 waktu setempat di seluruh gerai Transmart se-Indonesia.
Mumpung masih ada waktu, langsung aja ke gerai Transmart terdekat di kota Anda sekarang juga ya, bawa pulang kulkas SBS dan belanjaan lainnya!",,2025-01-19,https://akcdn.detik.net.id/visual/2024/09/15/transmart-full-day-sale-elektronik-2_169.jpeg?w=650&q=90
5,RS Polri: Identifikasi Korban Kebakaran Glodok Plaza Butuh 2 Minggu,CNN Indonesia,"RS Polri Kramat Jati memperkirakan proses identifikasi jenazah korban kebakaran Glodok Plaza membutuhkan waktu kurang lebih dua minggu.
Kabid DVI Rodokpol Pusdokkes Polri Kombes Ahmad Fauzi mengatakan lama waktu identifikasi dikarenakan kondisi jenazah sudah sulit dikenali dan tidak bisa lagi diperiksa melalui sidik jari.
""Kita upayakan kemarin awalnya sidik jari dan ada sidik jari yang tidak bisa, kita coba giginya, kemudian DNA kita ambil,"" ujarnya kepada wartawan dikutip Minggu (19/1).
""Pengalaman kami itu satu sampai dua minggu. Itu kalau lancar, mudah-mudahan lancar. Namun kalau ada kendala, kita ulang lagi sampai nanti hasilnya, keluar atau tidak,"" imbuhnya.

Sementara itu, Kabid Yandokpol RS Polri Kombes Hery Wijatmoko mengatakan hingga Sabtu (18/1) kemarin pihaknya telah menerima total 8 kantong jenazah dari 14 korban yang dilaporkan hilang.
Di sisi lain, Plt Kepala Dinas Penanggulangan Kebakaran dan Penyelamatan Satriadi Gunawan mengatakan proses pencarian korban akan dihentikan sementara.
Pasalnya, menurut Satriadi saat ini konstruksi bangunan sudah tidak lagi untuk memungkinkan petugas melakukan evakuasi, sehingga menurutnya perlu penanganan khusus.
""Kami sedang melakukan koordinasi dengan pihak kepolisian. Kemudian juga dengan pengelola atau pemiliknya,"" tuturnya.
Sebelumnya kebakaran di Glodok Plaza terjadi pada Rabu (15/1) malam. Api membakar sejumlah lantai di Glodok Plaza dan baru dapat dipadamkan Jumat (17/1).
Adapun titik awal api diduga berasal dari lantai 7 dan 8 Glodok Plaza. Pemprov DKI Jakarta mengaku bakal melakukan evaluasi standar keselamatan Gedung Glodok Plaza menyusul insiden kebakaran tersebut.",,2025-01-19,https://akcdn.detik.net.id/visual/2025/01/17/evakuasi-korban-kebakaran-glodok-plaza-11_169.jpeg?w=650&q=90
6,Panglima TNI Lanjut Bongkar Pagar Laut Tangerang Meski KKP Minta Tunda,CNN Indonesia,"Panglima TNI Jenderal Agus Subianto memastikan bakal melanjutkan pembongkaran pagar laut misterius sepanjang 30 kilometer (km) di perairan Tangerang, Banten.
Agus mengatakan keputusan pembongkaran itu akan tetap dilakukan lantaran merupakan perintah langsung dari Presiden Prabowo Subianto.
""Lanjut, sudah perintah presiden,"" ujarnya kepada wartawan lewat pesan singkat, Minggu (19/1).
Ia mengatakan keberadaan pagar laut misterius itu juga telah mengganggu aktivitas masyarakat khususnya yang ada di daerah pesisir. Oleh karenanya, kata dia, pembongkaran diharapkan dapat memudahkan para nelayan untuk mencari ikan di laut.

""Masyarakat yang mau mencari ikan tidak ada akses, sehingga dibuka supaya masyarakat bisa mencari ikan ke laut,"" tuturnya.
Agus menambahkan proses pembongkaran akan kembali dilakukan dan ditargetkan dapat segera dirampungkan. ""Secepatnya,"" pungkasnya.
Sebelumnya, TNI Angkatan Laut (AL) sempat menunda proses pembongkaran pagar laut yang berada di perairan Tangerang, Banten, pada Minggu (19/1).
Kepala Staf Angkatan Laut (KSAL) Laksamana Muhammad Ali beralasan hal itu dilakukan lantaran sedang dilakukan evaluasi terkait alat yang digunakan dalam proses pembongkaran pagar laut.

""Akan dilakukan (pembongkaran) namun dievaluasi dulu kira-kira alat apa yang sebaiknya digunakan, yang lebih praktis, mengingat perairannya cukup dangkal,"" ujarnya lewat pesan singkat.
Kendati demikian, Ali tidak membeberkan lebih jauh kapan pembongkaran akan kembali dilanjutkan. Ia mengatakan saat ini pihaknya tengah melakukan koordinasi dengan seluruh stakeholder holder terkait lainnya.


""Kita tunggu hasil rapat dengan semua stakeholder kemaritiman,"" ungkapnya.
Sementara itu, Menteri Kelautan dan Perikanan (KKP) Sakti Wahyu Trenggono menyayangkan adanya pembongkaran pagar laut yang dilakukan TNI AL.
Ia menilai seharusnya pagar laut misterius itu tidak serta merta dibongkar untuk memudahkan proses penyelidikan untuk mengetahui siapa pemiliknya.
""Kalau dibongkar gimana, nggak ada yang ngaku kan repot. Dan kamu (media) ngejar saya lagi, nanya siapa yang punya,"" tuturnya.",,2025-01-19,https://akcdn.detik.net.id/visual/2025/01/18/tni-al-dan-nelayan-bongkar-pagar-laut-di-tangerang-6_169.jpeg?w=650&q=90
7,Link Live Streaming Liga 1 Persija vs Persita di JIS,CNN Indonesia,"Pertandingan Persija Jakarta vs Persita Tangerang di Jakarta International Stadium (JIS) dalam Liga 1 2024/2025 dapat ditonton lewat live streaming. Berikut link live streaming Persija vs Persita di Liga 1.
Persija vs Persita akan main di Liga 1 yang akan digelar di JIS pada Minggu (19/1) malam pukul 19.00 WIB.
Pertandinga Persija vs Persita bisa disaksikan melalui live streaming di Vidio.com. Selain itu duel tim Macan Kemayoran vs Pendekar Cisadane juga bisa disaksikan secara langsung di Indosiar.
Penyerang Persija Gustavo Almeida bertekad mencetak gol dalam pertandingan ini demi membantu tim Macan Kemayoran meraih poin penuh.
Apalagi Gustavo Almeida punya rapor bagus di JIS karena dalam tiga kali main di JIS, ia berhasil mencetak dua kali hattrick yaitu saat menjamu Barito Putera pada 10 Agustus 2024 dan PSS Sleman pada 21 Desember 2024.
""Persiapan kami sudah memperbaiki kekurangan yang ada. Besok [hari ini] saya punya feeling yang bagus untuk bisa memenangkan pertandingan dan mendapatkan tiga poin,"" kata Gustavo Almeida dikutip dari laman Liga Indonesia Baru.
""Ketika Persija membawa saya adalah untuk membantu tim sebagai striker, bukan untuk saya pribadi. Tentu sebagai striker, saya berusaha mencetak gol. Itulah pekerjaan saya. Target saya adalah selalu membantu tim, mencetak gol, memberikan assist, dan berjuang selama 90 menit. Saya berharap di akhir Liga kami bisa meraih juara,"" ucap Gustavo Almeida menambahkan.
Persija saat ini berada di posisi ketiga klasemen Liga 1 dengan mengemas 34 poin dari 18 pertandingan yang dilakoni.
Jika menang atas Persita, Persija Jakarta akan naik ke posisi kedua klasemen menggeser Persebaya Surabaya dan menempel Persib Bandung yang kini berada di puncak klasemen Liga 1.
Sementara Persita saat ini berada di posisi ketujuh klasemen Liga 1 dengan mengemas 30 poin dari 18 pertandingan yang dilakoni.
Jika menang dari Persija, Persita akan naik ke peringkat keempat klasemen dan akan menempel tim Macan Kemayoran di posisi ketiga.
JIS/ Live Indosiar dan Vidio/ Minggu (19/1)/Pukul 19.00 WIB
[Gambas:Video CNN]",,2025-01-19,https://akcdn.detik.net.id/visual/2024/08/10/persija-jakarta-vs-barito-putera_169.jpeg?w=650&q=90
8,Imigrasi Buru WN China Viral Diduga Sogok Petugas Soetta,CNN Indonesia,"Menteri Imigrasi Agus Andrianto memburu seorang Warga Negara (WN) China yang mengaku menyogok petugas imigrasi Bandara Internasional Soekarno-Hatta (Soetta).
Agus menduga motif WN Cina itu mengunggah video tersebut ke sosial media untuk mempermalukan Indonesia.
""Kepada yang bersangkutan saya lihat motifnya memang mempermalukan. Kita tidak kasih tolerir penyimpangan pegawai namun juga kami tidak rela bangsa ini dipermalukan (membaca niat pelaku),"" kata Agus lewat pesan singkat, Minggu (19/1).
Agus pun berniat menerbitkan surat penangkalan dan mendeportasi yang bersangkutan ke negaranya. Ia menjelaskan tindakan itu akan diambil agar imigrasi bisa mengklarifikasi kebenaran unggahan secara langsung ke yang bersangkutan.

Aksi WN Cina itu viral di akun media sosial TikTok. Dalam narasi unggahan tersebut WN Cina itu sengaja menyelipkan uang Rp500 ribu di dalam paspornya dengan maksud mempermudah proses masuk ke Indonesia.
Ia mengunggah video dengan latar Bandara Soetta. Di unggahan tersebut ia mengaku cara itu cukup jitu kala memasuki Indonesia.
Agus pun mengatakan saat ini tengah menyelidiki dugaan penerimaan suap yang dilakukan petugas. Ia memastikan bakal menindak tegas jajarannya apabila memang ditemukan bukti pelanggaran.
""Sedang kita cari dan klarifikasi, kalau benar pegawai ya pasti kita tindak,"" tegasnya.",,2025-01-19,https://akcdn.detik.net.id/visual/2021/01/10/posko-crisis-center-pesawat-sriwijaya-hilang-kontak_169.jpeg?w=650&q=90
9,Menteri KKP: Luas Pagar Laut di Bekasi 3 Ribuan Hektare,CNN Indonesia,"Menteri Kelautan dan Perikanan Sakti Wahyu Trenggono mengungkap luas pagar laut di Bekasi, Jawa Barat, mencapai sekitar 3 ribu hektare.
Menteri Trenggono mendorong media terus menyorot kasus pagar laut di Bekasi yang luasnya sekitar 3 ribu hektare, yang dibangun dengan bambu.
""Karena bagi Kementerian Kelautan dan Perikanan apapun bangunan yang di laut karena yang kita segel bukan hanya ini-loh (di Tangerang). Yang di Bekasi kalian tidak soroti, itu sudah ada perusahaannya. Terus kemudian kita segel, kita hentikan dan itu luas-nya 3 ribuan hektar yang di Bekasi, sebelahnya PLN, dia langsung melakukan pengerukan-pengerukan dan kemudian memasang yang sama, bambu juga,"" kata dia, saat ditemui di Rapat Koordinasi Penanganan Sampah Laut di Pulau Bali, di Jimbaran, Kabupaten Badung, Bali, Minggu (19/1).
Trenggono menyatakan tidak ada keterkaitan pagar laut di Bekasi dan Tangerang. Kata dia, pagar laut di Tangerang belum diketahui pemiliknya, sedangkan di Bekasi sudah ada perusahaan yang mengaku sebagai pembuatnya.
""Enggak ada. Kalau di Bekasi ada perusahaannya,"" imbuhnya.

Trenggono juga merespons PT. Tunas Ruang Pelabuhan Nusantara (TRPN) yang berencana untuk melaporkan KKP ke DPR soal penyegelan pagar laut di Bekasi.
PT TRPN telah mengakui sebagai pihak yang memasang pagar laut di Bekasi. Menteri Trenggono mengaku tak mempermasalahkan rencana PT TRPN melaor ke DPR. 
""Enggak apa-apa, enggak masalah itu haknya juga. Pemahaman hukumnya kan macam-macam, tidak masalah, tapi yang pasti kami berdua (dengan Menteri Lingkungan Hidup) menjaga lingkungan,"" ungkapnya.
Ia juga mengingatkan bahwa izin pemanfaatan laut harus dari pemerintah pusat berdasarkan UU Cipta Kerja. Pernyataan ini merespons PT TRPN yang mengaku sudah mengantongi izin dari Dinas Kelautan dan Perikanan (DKP) Jawa Barat untuk membangun pagar laut.
Selain itu Trenggono menegaskan PT TRPN akan langsung mendapat sanksi administratif berupa denda dan kewajiban mengembalikan lingkungan laut yang dipagari seperti sedia kala. Sanksi diberikan tanpa harus memanggil perusahaan tersebut.
""Langsung kenakan sanksi administratif seusai kewenangan Undang-undang administratif didenda dan harus dikembalikan (lingkungannya),"" ujarnya.
Menteri Lingkungan Hidup Hanif Faisol Nurofiq mengatakan bahwa soal pemasangan pagar laut misterius baik di Tangerang dan Bekasi itu belum ada persetujuan dari sistem Analisis Mengenai Dampak Lingkungan (AMDAL) di Kementerian Lingkungan Hidup.
""Jadi sampai hari ini dari sistem Amdal net kami belum ada persetujuan lingkungan yang dilakukan pada dua langkah tersebut. Jadi sudah jelas kalau tidak ada persetujuan lingkungan bisa dibayangkan sendiri,"" ujarnya.
Sebelumnya, PT TRPN melalui kuasa hukumnya Deolipa Yumara menyampaikan rencana untuk melaporkan KKP ke DPR jika permasalahan penyegelan pagar laut di Bekasi tidak segera diselesaikan.
""Iya (akan dilaporkan ke DPR), nanti kalau enggak selesai urusan. Karena kan (perusahaan) rugi soalnya. Tapi kelihatannya (seharusnya) selesai urusannya,"" ujar Deolipa, Jumat (17/1).

Menurut Deolipa, kasus ini muncul akibat kurangnya koordinasi antara KKP dan Dinas Kelautan dan Perikanan (DKP) Jawa Barat, meskipun keduanya berada dalam satu institusi pemerintahan.
Deolipa menjelaskan bahwa pagar laut tersebut merupakan bagian dari proyek pendalaman alur laut yang dikerjakan oleh PT TRPN selaku kontraktor, atas permintaan DKP Jawa Barat.
Menurutnya, proyek tersebut bertujuan untuk memperdalam alur laut guna mempermudah akses kapal-kapal besar, termasuk kapal nelayan, sekaligus mendukung pembangunan pelabuhan dan fasilitas perikanan di wilayah Jawa Barat.
Namun, proyek tersebut dihentikan karena penyegelan oleh KKP, yang dianggap tidak terkoordinasi dengan DKP.
""Proyek ini sebenarnya adalah proyek pemerintah sendiri, bukan proyek swasta. DKP meminta TRPN untuk mengerjakan pendalaman alur laut agar kapal-kapal nelayan besar bisa masuk, demi mendukung keberadaan pelabuhan dan tempat pelelangan ikan. Tapi, justru disegel oleh KKP karena karena perizinannya belum selesai,"" ujar Deolipa.",,2025-01-19,https://akcdn.detik.net.id/visual/2025/01/19/menteri-kelautan-dan-perikanan-sakti-wahyu-trenggono_169.jpeg?w=650&q=90
